journey_id,touchpoint_order,channel,campaign,timestamp,converted,conversion_revenue,total_touchpoints
J_00001,1,social_paid,Meta_Awareness,2025-03-01,TRUE,1850.00,4
J_00001,2,paid_search,PS_Brand,2025-03-05,TRUE,1850.00,4
J_00001,3,email,Nurture,2025-03-12,TRUE,1850.00,4
J_00001,4,paid_search,PS_Generic,2025-03-18,TRUE,1850.00,4
J_00002,1,tv_national,TV_Brand_Q1,2025-01-15,TRUE,2400.00,3
J_00002,2,paid_search,PS_Brand,2025-01-22,TRUE,2400.00,3
J_00002,3,call_center,Inbound_Sales,2025-01-28,TRUE,2400.00,3
J_00003,1,display,Programmatic,2025-04-01,FALSE,0,2
J_00003,2,social_paid,Meta_Awareness,2025-04-08,FALSE,0,2
J_00004,1,events,Trade_Show_H1,2025-02-10,TRUE,5200.00,3
J_00004,2,email,Nurture,2025-02-20,TRUE,5200.00,3
J_00004,3,direct_mail,Catalog_Q1,2025-03-01,TRUE,5200.00,3
J_00005,1,ooh,Billboard_Highway,2025-05-01,TRUE,980.00,5
J_00005,2,radio,Radio_Regional,2025-05-08,TRUE,980.00,5
J_00005,3,organic_search,SEO_Blog,2025-05-12,TRUE,980.00,5
J_00005,4,paid_search,PS_Brand,2025-05-15,TRUE,980.00,5
J_00005,5,email,Promo_Blast,2025-05-18,TRUE,980.00,5
J_00006,1,video_youtube,Pre_Roll,2025-06-01,FALSE,0,1
J_00007,1,paid_search,PS_Competitor,2025-07-01,TRUE,420.00,2
J_00007,2,paid_search,PS_Product,2025-07-05,TRUE,420.00,2
J_00008,1,social_paid,TikTok_Brand,2025-08-01,FALSE,0,3
J_00008,2,display,Display_Retargeting,2025-08-05,FALSE,0,3
J_00008,3,social_paid,Meta_Retargeting,2025-08-10,FALSE,0,3
